用户ID,题目ID,状态,分数,编译器,用时,内存,提交时间
1972578819697491968,2028310279974723584,ACCEPTED,25.0,GCC,0.01,1052672,2026-03-19T11:45:42Z
1972578819697491968,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.008,1241088,2026-03-19T11:43:11Z
1972578819697491968,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.014,880640,2026-03-19T11:43:03Z
1972578819697491968,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.008,1056768,2026-03-19T11:42:41Z
1972666124072517632,2028310279974723584,ACCEPTED,25.0,GCC,0.009,827392,2026-03-18T03:29:57Z
1972666124072517632,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.4,622592,2026-03-18T03:29:05Z
1972612541868277760,2028310279974723584,ACCEPTED,25.0,GCC,0.008,835584,2026-03-17T08:01:42Z
1972612541868277760,2028310279974723584,PARTIAL_ACCEPTED,23.0,GCC,0.008,835584,2026-03-17T08:01:07Z
1972612541868277760,2028310279974723584,PARTIAL_ACCEPTED,23.0,GCC,0.4,618496,2026-03-17T06:55:38Z
1972612541868277760,2028310444097839104,ACCEPTED,10.0,GCC,0.064,7516160,2026-03-17T05:18:42Z
1972612541868277760,2028309843691610112,ACCEPTED,10.0,GCC,0.001,532480,2026-03-17T05:14:07Z
1972612541868277760,2028309658425004032,ACCEPTED,10.0,GCC,0.001,524288,2026-03-16T12:21:06Z
1972612541868277760,2028308523224043520,ACCEPTED,15.0,GCC,0.003,479232,2026-03-16T12:08:57Z
1972612541868277760,2028308059417907200,ACCEPTED,15.0,GCC,0.001,593920,2026-03-16T10:41:48Z
1971952786942328832,2028310444097839104,ACCEPTED,10.0,GCC,0.063,7323648,2026-03-16T07:36:17Z
1971952786942328832,2028310444097839104,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-16T07:36:04Z
1972578901855698944,2028308059417907200,ACCEPTED,15.0,GCC,0.001,589824,2026-03-16T07:33:20Z
1971952786942328832,2028310279974723584,ACCEPTED,25.0,GCC,0.01,876544,2026-03-16T07:32:59Z
1971952786942328832,2028310279974723584,ACCEPTED,25.0,GCC,0.008,1048576,2026-03-16T07:32:19Z
1972578901855698944,2028308059417907200,ACCEPTED,15.0,GCC,0.002,598016,2026-03-16T07:32:09Z
1971952786942328832,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.008,1036288,2026-03-16T07:31:22Z
1971952786942328832,2028309843691610112,ACCEPTED,10.0,GCC,0.001,524288,2026-03-16T07:23:51Z
1971952786942328832,2028309658425004032,ACCEPTED,10.0,GCC,0.002,569344,2026-03-16T07:11:01Z
1971952786942328832,2028309658425004032,WRONG_ANSWER,0.0,GCC,0.001,532480,2026-03-16T07:10:31Z
1971952786942328832,2028309658425004032,WRONG_ANSWER,0.0,GCC,0.001,569344,2026-03-16T07:10:15Z
1971952786942328832,2028309658425004032,WRONG_ANSWER,0.0,GCC,0.001,598016,2026-03-16T06:44:54Z
1971952786942328832,2028309658425004032,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-16T06:44:38Z
1971952786942328832,2028308523224043520,ACCEPTED,15.0,GCC,0.003,589824,2026-03-16T06:41:02Z
1971952786942328832,2028308059417907200,ACCEPTED,15.0,GCC,0.002,593920,2026-03-16T06:39:05Z
1972578787715923968,2028308059417907200,ACCEPTED,15.0,GCC,0.001,573440,2026-03-09T06:55:44Z
1972578713770315776,2028310444097839104,ACCEPTED,10.0,GCC,0.063,7450624,2026-03-08T07:17:52Z
1972578713770315776,2028310444097839104,SEGMENTATION_FAULT,0.0,GCC,0.009,589824,2026-03-08T07:17:23Z
1972578713770315776,2028310444097839104,WRONG_ANSWER,0.0,GCC,0.001,593920,2026-03-08T07:16:54Z
1972578713770315776,2028310444097839104,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-08T07:14:09Z
1972578713770315776,2028310279974723584,ACCEPTED,25.0,GCC,0.008,864256,2026-03-08T07:09:32Z
1972578797778243584,2028309658425004032,ACCEPTED,10.0,GCC,0.001,585728,2026-03-07T06:41:27Z
1972579128377266176,2028310279974723584,ACCEPTED,25.0,GCC,0.008,823296,2026-03-06T14:39:50Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,23.0,GCC,0.008,827392,2026-03-06T14:36:44Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,22.0,GCC,0.008,974848,2026-03-06T14:36:36Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,23.0,GCC,0.008,835584,2026-03-06T14:34:53Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,21.0,GCC,0.008,946176,2026-03-06T14:34:34Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,21.0,GCC,0.008,827392,2026-03-06T14:34:04Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,21.0,GCC,0.008,827392,2026-03-06T14:32:04Z
1972579128377266176,2028310279974723584,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-06T14:31:33Z
1972579128377266176,2028310279974723584,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-06T14:31:01Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,18.0,GCC,0.008,946176,2026-03-06T14:25:12Z
1972578555217264640,2028309843691610112,ACCEPTED,10.0,GCC,0.001,524288,2026-03-05T12:36:07Z
1972579128377266176,2028310444097839104,ACCEPTED,10.0,GCC,0.064,7524352,2026-03-04T12:24:12Z
1972579128377266176,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.4,811008,2026-03-04T12:18:35Z
1972578797778243584,2028308523224043520,ACCEPTED,15.0,GCC,0.004,577536,2026-03-04T11:40:25Z
1972578797778243584,2028308059417907200,ACCEPTED,15.0,GCC,0.001,589824,2026-03-04T11:36:36Z
1972578797778243584,2028310279974723584,ACCEPTED,25.0,GCC,0.008,872448,2026-03-04T11:27:34Z
1972578797778243584,2028310279974723584,PARTIAL_ACCEPTED,24.0,GCC,0.4,872448,2026-03-04T11:19:53Z
1972578797778243584,2028310279974723584,PARTIAL_ACCEPTED,23.0,GCC,0.4,589824,2026-03-04T11:13:35Z
1972578819697491968,2028310444097839104,ACCEPTED,10.0,GCC,0.064,7561216,2026-03-03T13:04:55Z
1972578819697491968,2028309843691610112,ACCEPTED,10.0,GCC,0.001,581632,2026-03-03T12:57:06Z
1972579128377266176,2028309843691610112,ACCEPTED,10.0,GCC,0.001,536576,2026-03-03T12:54:41Z
1972579128377266176,2028309658425004032,ACCEPTED,10.0,GCC,0.001,540672,2026-03-03T12:50:39Z
1972579128377266176,2028309658425004032,PARTIAL_ACCEPTED,2.0,GCC,0.001,565248,2026-03-03T12:47:31Z
1972578819697491968,2028309658425004032,ACCEPTED,10.0,GCC,0.001,585728,2026-03-03T12:45:26Z
1972578819697491968,2028309658425004032,PRESENTATION_ERROR,0.0,GCC,0.001,573440,2026-03-03T12:45:17Z
