用户ID,题目ID,状态,分数,编译器,用时,内存,提交时间
1976209652312571904,2028311362717523971,ACCEPTED,45.0,GCC,0.011,864256,2026-03-27T05:34:01Z
1976209652312571904,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-27T05:31:14Z
1976209652312571904,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-27T05:31:07Z
1975145418371760128,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1212416,2026-03-27T04:52:46Z
1975145418371760128,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.013,1118208,2026-03-27T04:50:40Z
1975145418371760128,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-27T04:49:08Z
1972578819697491968,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-24T08:28:54Z
1768189194671951872,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-24T02:59:13Z
1972578819697491968,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1187840,2026-03-23T13:15:19Z
1972578819697491968,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-23T13:12:09Z
1972579093166297088,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1216512,2026-03-23T09:03:09Z
1972579093166297088,2028311362717523971,WRONG_ANSWER,0.0,GCC,0.01,1380352,2026-03-23T09:02:25Z
1972579093166297088,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.4,856064,2026-03-23T08:55:04Z
1972579093166297088,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.4,860160,2026-03-23T08:53:55Z
1972579093166297088,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-23T08:53:39Z
1972579093166297088,2028311362717523971,WRONG_ANSWER,0.0,GCC,0.375,1048576,2026-03-23T08:50:27Z
1972579093166297088,2028311362717523971,WRONG_ANSWER,0.0,GCC,0.377,966656,2026-03-23T08:50:16Z
1972579093166297088,2028311362717523971,WRONG_ANSWER,0.0,GCC,0.37,1171456,2026-03-23T08:49:20Z
1972579093166297088,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.4,1114112,2026-03-23T08:40:28Z
1972579093166297088,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.4,1015808,2026-03-23T08:13:01Z
1972579093166297088,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.4,827392,2026-03-23T08:12:43Z
1972579093166297088,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-23T07:38:01Z
1972579093166297088,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-23T07:33:54Z
1972579093166297088,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-23T07:24:35Z
1973611603643990016,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-23T05:06:54Z
1972579093166297088,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-22T15:30:49Z
1972579093166297088,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-22T15:23:34Z
1972578756485316608,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1474560,2026-03-22T10:49:52Z
1972578756485316608,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-22T10:47:47Z
1972578901855698944,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-22T05:54:27Z
1971952786942328832,2028311362717523971,ACCEPTED,45.0,GCC,0.011,860160,2026-03-22T05:40:54Z
1972579093166297088,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-22T05:34:14Z
1971952786942328832,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-22T05:28:42Z
1971952786942328832,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-22T05:00:42Z
1971952786942328832,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-22T04:55:05Z
1972578558124097536,2028311362717523971,PARTIAL_ACCEPTED,35.0,GCC,0.196,880640,2026-03-21T01:40:15Z
1972578771492356096,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-20T06:16:45Z
1976210942992187392,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-20T06:14:43Z
1972578792874889216,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-20T06:14:43Z
1976210942992187392,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-20T06:14:42Z
1976210942992187392,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-20T06:14:23Z
1976210942992187392,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-20T06:12:39Z
1972578792874889216,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-20T06:12:39Z
1706980034050650112,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-19T14:01:08Z
1972578539648192512,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-19T12:48:10Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-19T12:48:07Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-19T12:45:38Z
1972578797778243584,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-19T10:36:47Z
1972578543796146176,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-19T10:18:19Z
1972578713770315776,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-18T14:44:58Z
1972578727754334208,0,WAITING,0.0,NO_COMPILER,0.0,0,2026-03-18T14:23:01Z
1976211197805776896,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1175552,2026-03-15T15:53:16Z
1976211197805776896,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T15:52:06Z
1976211197805776896,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T15:51:36Z
1976211197805776896,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T15:51:08Z
1976211197805776896,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T15:49:56Z
1976211197805776896,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T15:48:05Z
1972578539648192512,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-15T15:41:42Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:41:22Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:41:05Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:40:48Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:40:33Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:40:18Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:39:57Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:39:37Z
1972578539648192512,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T15:38:54Z
1976211197805776896,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-15T15:29:32Z
1972666124072517632,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-15T12:53:53Z
1972666124072517632,2028311362717523971,ACCEPTED,45.0,GCC,0.01,1224704,2026-03-15T12:52:57Z
1972666124072517632,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T12:48:37Z
1972578730845327360,2028311362717523971,ACCEPTED,45.0,GCC,0.015,966656,2026-03-15T11:55:50Z
1972578730845327360,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-15T11:53:57Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:53:13Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:52:37Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:52:04Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:51:01Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:50:54Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:50:10Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:49:37Z
1972578730845327360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T11:49:01Z
1972578727754334208,2028311362717523971,ACCEPTED,45.0,GCC,0.011,888832,2026-03-15T10:25:22Z
1972578727754334208,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T10:24:56Z
1972578727754334208,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T10:24:37Z
1972578727754334208,2028311362717523971,ACCEPTED,45.0,GCC,0.016,856064,2026-03-15T10:03:06Z
1972578727754334208,2028311362717523971,PARTIAL_ACCEPTED,10.0,GCC,0.008,847872,2026-03-15T10:02:49Z
1972578771492356096,2028311362717523971,ACCEPTED,45.0,GCC,0.013,1171456,2026-03-15T09:14:40Z
1972578771492356096,2028311362717523971,ACCEPTED,45.0,GCC,0.01,1019904,2026-03-15T09:13:36Z
1975818236885336064,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1167360,2026-03-15T09:04:56Z
1975818236885336064,2028311362717523971,PARTIAL_ACCEPTED,25.0,GCC,0.011,1380352,2026-03-15T09:03:49Z
1975818236885336064,2028311362717523971,PARTIAL_ACCEPTED,25.0,GCC,0.011,884736,2026-03-15T09:03:11Z
1975818236885336064,2028311362717523971,PARTIAL_ACCEPTED,10.0,GCC,0.013,1470464,2026-03-15T08:59:47Z
1975818236885336064,0,PARTIAL_ACCEPTED,45.0,NO_COMPILER,0.0,0,2026-03-15T08:30:47Z
1972578619985707008,2028311362717523971,ACCEPTED,45.0,GCC,0.01,835584,2026-03-15T08:09:02Z
1972578619985707008,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T08:08:51Z
1972578619985707008,0,PARTIAL_ACCEPTED,45.0,NO_COMPILER,0.0,0,2026-03-15T07:53:45Z
1972578758481625088,0,PARTIAL_ACCEPTED,45.0,NO_COMPILER,0.0,0,2026-03-15T07:38:13Z
1972578758481625088,2028311362717523971,ACCEPTED,45.0,GCC,0.201,1179648,2026-03-15T07:29:27Z
2029538607142440960,0,PARTIAL_ACCEPTED,40.0,NO_COMPILER,0.0,0,2026-03-15T07:19:55Z
2029538607142440960,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1339392,2026-03-15T07:18:37Z
2029538607142440960,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T07:16:55Z
2029538607142440960,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-15T07:13:43Z
2029538607142440960,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T07:04:12Z
2029538607142440960,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T07:03:50Z
2029538607142440960,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T07:01:53Z
1972578543796146176,2028311362717523971,ACCEPTED,45.0,GCC,0.01,1212416,2026-03-15T05:43:49Z
1976210831827599360,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1351680,2026-03-15T05:27:27Z
1976210831827599360,2028311362717523971,PARTIAL_ACCEPTED,25.0,GCC,0.01,860160,2026-03-15T05:25:45Z
1976210831827599360,2028311362717523971,PARTIAL_ACCEPTED,10.0,GCC,0.008,835584,2026-03-15T05:23:57Z
1976210831827599360,2028311362717523971,WRONG_ANSWER,0.0,GCC,0.011,876544,2026-03-15T05:22:31Z
1972578543796146176,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-15T05:22:21Z
1976210831827599360,2028311362717523971,WRONG_ANSWER,0.0,GCC,0.01,1183744,2026-03-15T05:21:52Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:20:11Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:19:34Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:17:04Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:15:48Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:14:54Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:12:33Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:12:14Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:11:54Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:11:32Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:10:16Z
1972578543796146176,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-15T05:08:57Z
1974855576807149568,2028311362717523971,ACCEPTED,45.0,GCC,0.011,860160,2026-03-14T16:41:36Z
1768189194671951872,2028311362717523971,ACCEPTED,45.0,GCC,0.012,1335296,2026-03-14T13:50:40Z
1768189194671951872,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-14T13:28:40Z
1768189194671951872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T13:23:16Z
1974855576807149568,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-14T11:08:44Z
1974855576807149568,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T10:55:07Z
1974855576807149568,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T10:18:45Z
1768189194671951872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T06:37:35Z
1768189194671951872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T06:30:39Z
1976210831827599360,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-14T03:58:07Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:56:55Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:56:39Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:48:19Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:43:42Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:42:51Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:40:37Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:39:50Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:39:06Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:36:42Z
1972578558124097536,2028311362717523971,PARTIAL_ACCEPTED,35.0,GCC,0.197,856064,2026-03-14T03:24:49Z
1972578558124097536,2028311362717523971,PARTIAL_ACCEPTED,35.0,GCC,0.197,872448,2026-03-14T03:24:44Z
1972578558124097536,2028311362717523971,PARTIAL_ACCEPTED,35.0,GCC,0.196,835584,2026-03-14T03:24:21Z
1972578558124097536,2028311362717523971,PARTIAL_ACCEPTED,25.0,GCC,0.2,876544,2026-03-14T03:20:26Z
1976210831827599360,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-14T03:16:27Z
1972578558124097536,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-14T03:11:15Z
1972578727754334208,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-13T14:46:36Z
1972578727754334208,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-13T14:40:20Z
2032103029056700416,2028311362717523971,ACCEPTED,45.0,GCC,0.011,880640,2026-03-13T12:52:06Z
1706980034050650112,2028311362717523971,ACCEPTED,45.0,GCC,0.193,851968,2026-03-13T12:20:05Z
1706980034050650112,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-13T12:18:11Z
2032103029056700416,2028311362717523971,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-13T12:05:02Z
1706924964512645120,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1359872,2026-03-13T12:01:09Z
1706924964512645120,0,PARTIAL_ACCEPTED,40.0,NO_COMPILER,0.0,0,2026-03-13T11:58:56Z
1706924964512645120,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-13T11:57:10Z
2032103029056700416,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-13T11:23:08Z
1706906488909705216,2028311362717523971,ACCEPTED,45.0,GCC,0.01,1351680,2026-03-13T07:00:09Z
1706906488909705216,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-13T06:54:49Z
1768189194671951872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-13T05:46:17Z
1706595808105058304,2028311362717523971,ACCEPTED,45.0,GCC,0.01,1097728,2026-03-12T17:46:40Z
1706595808105058304,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-12T17:42:00Z
1706595808105058304,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T17:41:54Z
1707307034934095872,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-12T16:38:32Z
1707307034934095872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T16:38:30Z
1707307034934095872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T16:37:19Z
1707307034934095872,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T16:36:15Z
1707307034934095872,2028311362717523971,ACCEPTED,45.0,GCC,0.011,864256,2026-03-12T16:35:42Z
1972578727754334208,2028311362717523971,ACCEPTED,45.0,GCC,0.011,860160,2026-03-12T15:43:04Z
1972578727754334208,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T15:41:00Z
1972612541868277760,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-12T13:31:18Z
1972579140655124480,2028311362717523971,ACCEPTED,45.0,GCC,0.011,876544,2026-03-12T13:04:33Z
1972578852924948480,2028311362717523971,ACCEPTED,45.0,GCC,0.194,1208320,2026-03-12T12:38:05Z
1972578852924948480,2028311362717523971,MULTIPLE_ERROR,0.0,GCC,0.204,2125824,2026-03-12T12:36:57Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T12:35:40Z
1972578539648192512,2028311362717523971,ACCEPTED,45.0,GCC,0.011,851968,2026-03-12T12:35:21Z
1972578852924948480,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-12T12:29:29Z
1972578852924948480,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T12:24:04Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T12:16:45Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T12:13:32Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T12:04:03Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:59:29Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:57:44Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:53:47Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:48:35Z
1972578797778243584,0,PARTIAL_ACCEPTED,50.0,NO_COMPILER,0.0,0,2026-03-12T11:43:47Z
1972612541868277760,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:43:31Z
1972612541868277760,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1359872,2026-03-12T11:38:01Z
1972578797778243584,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:26:21Z
1974855576807149568,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T11:20:38Z
1973611603643990016,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1175552,2026-03-12T11:15:53Z
1710553192263446528,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1359872,2026-03-12T02:43:49Z
1710553192263446528,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-12T02:34:00Z
1710553192263446528,0,OVERRIDDEN,0.0,NO_COMPILER,0.0,0,2026-03-12T02:31:29Z
1976210942992187392,0,PARTIAL_ACCEPTED,45.0,NO_COMPILER,0.0,0,2026-03-11T11:58:07Z
1976210942992187392,2028311362717523971,ACCEPTED,45.0,GCC,0.012,1437696,2026-03-11T11:48:05Z
1972578797778243584,2028311362717523971,ACCEPTED,45.0,GCC,0.01,864256,2026-03-11T09:19:18Z
1972578832985018368,2028311362717523971,ACCEPTED,45.0,GCC,0.011,872448,2026-03-11T09:09:19Z
1972578832985018368,0,ACCEPTED,55.0,NO_COMPILER,0.0,0,2026-03-11T09:00:33Z
1972579128377266176,2028311362717523971,ACCEPTED,45.0,GCC,0.011,1097728,2026-03-11T07:58:15Z
