用户ID,题目ID,状态,分数,编译器,用时,内存,提交时间
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,589824,2026-03-22T15:58:09Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,585728,2026-03-22T15:57:43Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,532480,2026-03-22T15:56:41Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,589824,2026-03-22T15:55:51Z
1972578539648192512,2029588174512820224,ACCEPTED,40.0,GCC,0.001,593920,2026-03-22T15:55:30Z
1976211197805776896,2029588174517014530,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-22T15:55:02Z
1972578539648192512,2029588174517014528,ACCEPTED,15.0,GCC,0.001,581632,2026-03-22T15:55:00Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,593920,2026-03-22T15:53:45Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,622592,2026-03-22T15:51:11Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.002,573440,2026-03-22T15:50:15Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,577536,2026-03-22T15:49:17Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,536576,2026-03-22T15:48:19Z
1976211197805776896,2029588174517014530,PRESENTATION_ERROR,0.0,GCC,0.001,593920,2026-03-22T15:47:27Z
1706595808105058304,2029588174517014529,ACCEPTED,25.0,GCC,0.002,593920,2026-03-22T15:28:12Z
1706595808105058304,2029588174517014528,ACCEPTED,15.0,GCC,0.001,540672,2026-03-22T15:15:09Z
1972578901666775040,2029588174517014530,ACCEPTED,20.0,GCC,0.002,524288,2026-03-22T15:12:57Z
1972578901666775040,2029588174517014529,ACCEPTED,25.0,GCC,0.001,593920,2026-03-22T15:12:34Z
1706595808105058304,2029588174512820224,ACCEPTED,40.0,GCC,0.002,544768,2026-03-22T15:11:23Z
1972578619985707008,2029588174517014530,ACCEPTED,20.0,GCC,0.001,532480,2026-03-22T14:24:32Z
1972578619985707008,2029588174517014529,ACCEPTED,25.0,GCC,0.002,663552,2026-03-22T14:22:59Z
1972578619985707008,2029588174517014528,ACCEPTED,15.0,GCC,0.002,577536,2026-03-22T14:22:00Z
1972578619985707008,2029588174517014528,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-22T14:21:09Z
1972578619985707008,2029588174512820224,ACCEPTED,40.0,GCC,0.002,589824,2026-03-22T14:20:21Z
1706924964512645120,2029588174517014530,ACCEPTED,20.0,GCC,0.002,593920,2026-03-22T14:16:39Z
1706595808105058304,2029588174517014530,ACCEPTED,20.0,GCC,0.002,589824,2026-03-22T14:04:20Z
1972578819697491968,2029588174517014528,ACCEPTED,15.0,GCC,0.001,524288,2026-03-22T13:54:53Z
1972578819697491968,2029588174512820224,ACCEPTED,40.0,GCC,0.001,585728,2026-03-22T13:53:35Z
1706924964512645120,2029588174517014530,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-22T13:52:17Z
1706924964512645120,2029588174517014530,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-22T13:50:18Z
1972578771492356096,2029588174517014530,ACCEPTED,20.0,GCC,0.002,528384,2026-03-22T13:02:48Z
1972578771492356096,2029588174517014529,ACCEPTED,25.0,GCC,0.002,540672,2026-03-22T13:02:18Z
1972578771492356096,2029588174517014528,ACCEPTED,15.0,GCC,0.001,626688,2026-03-22T13:01:51Z
1972578771492356096,2029588174512820224,ACCEPTED,40.0,GCC,0.001,528384,2026-03-22T13:01:13Z
