用户ID,题目ID,状态,分数,编译器,用时,内存,提交时间
1972579093166297088,2034586596871335940,PARTIAL_ACCEPTED,4.0,GCC,0.003,614400,2026-03-27T00:50:59Z
1972579093166297088,2034586596871335940,PARTIAL_ACCEPTED,4.0,GCC,0.002,544768,2026-03-27T00:31:59Z
1972579093166297088,2034586596871335940,MULTIPLE_ERROR,0.0,GCC,0.006,585728,2026-03-27T00:27:36Z
1972578797778243584,2034586596871335938,ACCEPTED,20.0,GCC,0.017,3813376,2026-03-26T15:32:41Z
1972579093166297088,2034586596871335940,MULTIPLE_ERROR,0.0,GCC,0.009,618496,2026-03-26T15:11:00Z
1972578616726732800,2034586596871335938,ACCEPTED,20.0,GCC,0.017,3923968,2026-03-26T14:28:48Z
1972578616726732800,2034586596871335938,ACCEPTED,20.0,GCC,0.017,3833856,2026-03-26T14:28:41Z
1972578616726732800,2034586596871335938,ACCEPTED,20.0,GCC,0.017,3915776,2026-03-26T14:19:03Z
2032103029056700416,2034586596871335938,ACCEPTED,20.0,GCC,0.017,3883008,2026-03-26T05:42:11Z
2032103029056700416,2034586596871335938,PARTIAL_ACCEPTED,16.0,GCC,0.017,3985408,2026-03-26T05:40:50Z
2032103029056700416,2034586596871335938,PARTIAL_ACCEPTED,16.0,GCC,0.017,3780608,2026-03-26T05:38:15Z
1972578616726732800,2034586596871335937,ACCEPTED,20.0,GCC,0.001,585728,2026-03-26T02:47:24Z
1972579093166297088,2034586596871335940,MULTIPLE_ERROR,0.0,GCC,0.008,589824,2026-03-26T01:10:32Z
1972579093166297088,2034586596871335940,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-26T01:10:12Z
1972579093166297088,2034586596871335940,MULTIPLE_ERROR,0.0,GCC,0.4,581632,2026-03-26T01:05:56Z
1972579093166297088,2034586596871335940,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-26T01:05:41Z
1972579093166297088,2034586596871335940,MULTIPLE_ERROR,0.0,GCC,0.4,585728,2026-03-26T01:04:08Z
1972579093166297088,2034586596871335940,MULTIPLE_ERROR,0.0,GCC,0.4,581632,2026-03-26T01:03:31Z
1972579093166297088,2034586596871335938,ACCEPTED,20.0,GCC,0.018,4292608,2026-03-26T00:44:39Z
1972579093166297088,2034586596871335938,PARTIAL_ACCEPTED,4.0,GCC,0.017,3764224,2026-03-26T00:44:31Z
1972579093166297088,2034586596871335938,PARTIAL_ACCEPTED,4.0,GCC,0.017,3895296,2026-03-26T00:43:04Z
