用户ID,题目ID,状态,分数,编译器,用时,内存,提交时间
1976209652312571904,2030973294884917250,ACCEPTED,10.0,GCC,0.001,585728,2026-03-27T05:39:41Z
1976209652312571904,2030976139693326336,ACCEPTED,10.0,GCC,0.003,585728,2026-03-27T05:38:37Z
1706980034050650112,2030973294884917252,ACCEPTED,10.0,GCC,0.876,61485056,2026-03-27T05:38:10Z
1976209652312571904,2030976139689132033,ACCEPTED,10.0,GCC,0.001,573440,2026-03-27T05:37:02Z
1976209652312571904,2030976139693326337,ACCEPTED,10.0,GCC,0.001,348160,2026-03-27T05:35:58Z
1706980034050650112,2030973294884917252,MULTIPLE_ERROR,0.0,GCC,0.12,32448512,2026-03-27T05:35:43Z
1706980034050650112,2030976139689132032,ACCEPTED,10.0,GCC,0.002,565248,2026-03-27T05:34:21Z
1706980034050650112,2030976139689132032,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-27T05:32:54Z
1972578727754334208,2030973294884917252,ACCEPTED,10.0,GCC,0.809,61587456,2026-03-27T05:32:36Z
1972578727754334208,2030976139689132032,WRONG_ANSWER,0.0,GCC,0.002,536576,2026-03-27T05:31:34Z
1706980034050650112,2030985148927545345,ACCEPTED,10.0,GCC,0.001,524288,2026-03-27T05:31:13Z
1972578727754334208,2030985148927545345,ACCEPTED,10.0,GCC,0.001,524288,2026-03-27T05:31:04Z
1706980034050650112,2030985148927545344,ACCEPTED,10.0,GCC,0.001,540672,2026-03-27T05:30:20Z
1972578727754334208,2030985148927545344,ACCEPTED,10.0,GCC,0.002,585728,2026-03-27T05:30:13Z
1706980034050650112,2030976139689132034,ACCEPTED,10.0,GCC,0.002,524288,2026-03-27T05:29:33Z
1972578727754334208,2030976139689132034,ACCEPTED,10.0,GCC,0.001,589824,2026-03-27T05:29:28Z
1706980034050650112,2030973294884917251,ACCEPTED,10.0,GCC,0.001,585728,2026-03-27T05:28:46Z
1972578727754334208,2030973294884917251,ACCEPTED,10.0,GCC,0.002,573440,2026-03-27T05:28:34Z
1706980034050650112,2030973294884917250,ACCEPTED,10.0,GCC,0.001,614400,2026-03-27T05:27:34Z
1706980034050650112,2030976139693326336,ACCEPTED,10.0,GCC,0.003,565248,2026-03-27T05:26:08Z
1706980034050650112,2030976139689132033,ACCEPTED,10.0,GCC,0.001,524288,2026-03-27T05:24:04Z
1706980034050650112,2030976139693326337,ACCEPTED,10.0,GCC,0.002,573440,2026-03-27T05:18:55Z
1975145418371760128,2030973294884917251,ACCEPTED,10.0,GCC,0.001,536576,2026-03-27T05:03:37Z
1975145418371760128,2030976139689132032,COMPILE_ERROR,0.0,GCC,0.0,0,2026-03-27T05:00:55Z
1975145418371760128,2030973294884917250,ACCEPTED,10.0,GCC,0.001,544768,2026-03-27T04:57:57Z
1975145418371760128,2030973294884917252,ACCEPTED,10.0,GCC,0.823,61550592,2026-03-27T04:55:46Z
1972650670897631232,2030976139693326337,ACCEPTED,10.0,GCC,0.001,417792,2026-03-27T03:57:10Z
1972650670897631232,2030976139693326337,PARTIAL_ACCEPTED,4.0,GCC,0.001,536576,2026-03-27T03:54:32Z
1972650670897631232,2030976139693326337,PARTIAL_ACCEPTED,4.0,GCC,0.001,585728,2026-03-27T03:53:16Z
1972650670897631232,2030976139693326337,PARTIAL_ACCEPTED,4.0,GCC,0.009,581632,2026-03-27T03:51:58Z
